city,station,lat,long,datasource,date,pollutant,concentration,unit,station_area,time,date.time,year,min_date,max_date,obs.period
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-27,PM2.5,6.80601785714286,ug/m3,NA,00:00:00,2017-10-27 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-28,PM2.5,6.33365896980462,ug/m3,NA,00:00:00,2017-10-28 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-28,PM2.5,5.09942857142857,ug/m3,NA,00:00:00,2017-10-28 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-28,PM2.5,5.36872289156627,ug/m3,NA,00:00:00,2017-10-28 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-28,PM2.5,5.06487272727273,ug/m3,NA,00:00:00,2017-10-28 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-29,PM2.5,6.42144642857143,ug/m3,NA,00:00:00,2017-10-29 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-29,PM2.5,4.65001785714286,ug/m3,NA,00:00:00,2017-10-29 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-29,PM2.5,4.96733452593918,ug/m3,NA,00:00:00,2017-10-29 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-29,PM2.5,4.52875457875458,ug/m3,NA,00:00:00,2017-10-29 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-30,PM2.5,9.19668977469671,ug/m3,NA,00:00:00,2017-10-30 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
