"station","city","datasource","pollutant","unit","concentration","date","station_area","lat","long","obs.period"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",22.455375,"2014-11-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",21.926125,"2016-11-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",33.426125,"2018-11-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",23.2410416666667,"2019-11-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",16.61,"2011-12-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",15.8868333333333,"2016-12-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",37.8181904761905,"2018-12-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",44.0749166666667,"2019-12-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",41.6744583333333,"2011-02-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",31.468375,"2012-02-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",4.346375,"2014-02-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",35.554,"2015-02-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",29.0628095238095,"2017-02-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",44.6816,"2019-02-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",11.8402916666667,"2020-02-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",51.434,"2011-03-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
