"station","city","datasource","pollutant","unit","date","lat","long","obs.period","concentration","station_area"
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-05,8.9843,38.7364,"2021/02/25 - 2021/03/28",26.008557844691,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-06,8.9843,38.7364,"2021/02/25 - 2021/03/28",27.3901666666667,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-07,8.9843,38.7364,"2021/02/25 - 2021/03/28",25.309940652819,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-08,8.9843,38.7364,"2021/02/25 - 2021/03/28",34.8473293768546,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-09,8.9843,38.7364,"2021/02/25 - 2021/03/28",32.8980392156863,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-10,8.9843,38.7364,"2021/02/25 - 2021/03/28",23.4902564102564,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-11,8.9843,38.7364,"2021/02/25 - 2021/03/28",22.2302023121387,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-12,8.9843,38.7364,"2021/02/25 - 2021/03/28",23.6938095238095,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-13,8.9843,38.7364,"2021/02/25 - 2021/03/28",26.7016181229773,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-14,8.9843,38.7364,"2021/02/25 - 2021/03/28",22.6964689265537,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-15,8.9843,38.7364,"2021/02/25 - 2021/03/28",20.7455631399317,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-16,8.9843,38.7364,"2021/02/25 - 2021/03/28",16.9732864674868,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-17,8.9843,38.7364,"2021/02/25 - 2021/03/28",21.1197289156627,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-18,8.9843,38.7364,"2021/02/25 - 2021/03/28",20.7902479338843,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-19,8.9843,38.7364,"2021/02/25 - 2021/03/28",16.5658252427184,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-20,8.9843,38.7364,"2021/02/25 - 2021/03/28",21.7923322683706,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-21,8.9843,38.7364,"2021/02/25 - 2021/03/28",20.1218340611354,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-22,8.9843,38.7364,"2021/02/25 - 2021/03/28",19.373126142596,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-23,8.9843,38.7364,"2021/02/25 - 2021/03/28",17.0060194174757,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-24,8.9843,38.7364,"2021/02/25 - 2021/03/28",21.9300699300699,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-25,8.9843,38.7364,"2021/02/25 - 2021/03/28",30.2230215827338,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-26,8.9843,38.7364,"2021/02/25 - 2021/03/28",28.441547277937,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-27,8.9843,38.7364,"2021/02/25 - 2021/03/28",19.6983483483483,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-28,8.9843,38.7364,"2021/02/25 - 2021/03/28",20.4424379232506,NA
